FOODID,FOODNAME_y,FOODTYPE,PROCESS,EDPORT,IGCLASS,IGCLASSP,CA,CAROTENS,FE,FIBC,FOL,ID,K,MG,NACL,NATRIUM,NIA,NIAEQ,P,RIBF,SE,THIA,VITA,VITB12,VITC,VITD,VITE,VITK,VITPYRID,ZN
356,"MIXED VEGETABLES, CARROT, CAULIFLOWER, PEA, BEAN",FOOD,FROZ,100,ROOT,VEGTOT,13.0,5798.2,0.7,2.2,45.94,1.0,120.0,12.0,16.56,6.5,1.27,1.721,40.0,0.08,2.019,0.08,358.68,0.0,42.0,0.0,0.29,24.65,0.1,0.4
358,VEGETABLE JUICE,FOOD,MASH,100,VEGJUICE,VEGTOT,19.0,7716.2,0.0,0.0,13.97,1.0,100.0,4.0,917.28,360.0,0.75,0.884,12.0,0.06,0.348,0.06,420.44,0.0,32.0,0.0,0.51,12.0,0.17,0.1
359,CHINESE CABBAGE,FOOD,RAW,100,CABBAGE,VEGTOT,33.0,55.4,0.27,1.1,52.06,0.0,290.0,9.6,28.03,11.0,0.4,0.6,36.0,0.04,10.0,0.03,1.26,0.0,15.5,0.0,0.24,80.0,0.14,0.19
360,SWISS CHARD,FOOD,RAW,100,VEGLEAF,VEGTOT,88.0,3692.0,1.3,1.4,30.0,1.0,470.0,59.0,301.94,118.5,0.4,0.4,30.0,0.16,0.9,0.1,304.568,0.0,39.0,0.0,1.89,830.0,0.27,0.9
362,AUBERGINE,FOOD,RAW,100,VEGFRU,VEGTOT,7.0,31.0,0.27,2.5,18.0,0.0,217.0,14.0,5.1,2.0,0.58,0.9,22.0,0.03,0.0,0.04,2.573,0.0,5.0,0.0,0.09,6.0,0.1,0.0
363,SWEET CORN KERNELS,FOOD,RAW,100,VEGLEAF,VEGTOT,2.0,849.1,0.52,3.7,41.0,0.0,270.0,37.0,7.64,3.0,1.9,2.651,89.0,0.08,0.4,0.15,6.95,0.0,12.0,0.0,0.08,0.3,0.22,0.0
364,GARDEN CRESS,FOOD,RAW,100,VEGLEAF,VEGTOT,70.0,2600.0,1.0,3.3,30.0,0.0,150.0,40.0,35.67,14.0,1.0,1.0,35.0,0.19,0.9,0.15,215.8,0.0,59.0,0.0,0.7,250.0,0.1,0.7
367,CHANTERELLE,FOOD,RAW,100,MUSHRO,VEGTOT,3.6,1329.4,0.85,3.22,7.4,1.0,450.0,10.0,5.1,2.0,3.94,4.433,50.0,0.12,18.0,0.045,110.34,0.0,0.25,5.77,0.0,0.02,0.04,0.77
368,FALSE MOREL,FOOD,RAW,100,MUSHRO,VEGTOT,3.6,0.0,0.85,3.22,21.0,1.0,450.0,0.14,5.1,2.0,3.94,4.433,50.0,0.12,39.0,0.045,0.0,0.0,0.25,5.77,0.0,,0.22,0.73
369,"DILL, FRESH",FOOD,RAW,100,VEGLEAF,VEGTOT,208.0,11231.8,6.59,2.1,36.0,3.9,738.0,55.0,66.25,26.0,1.57,1.804,66.0,0.296,2.7,0.058,374.92,0.0,85.0,0.0,1.59,280.0,0.3,0.91
